restaurant_id,name
4688,Centara Ayutthaya Staycation (Ayutthaya)
5550,Centara Korat Staycation (Nakhon Ratchasima)
5815,Central Siam Cuisine
6320,Centre Point Hotel Sukhumvit 10 Staycation
6216,Cha La Restaurant and Bar (Khao Yai)
6581,Chaai-Samai 2498 Bangkok
5957,Chaan G
6856,Chaebol Shabu
4577,Chaiiyo Eatery Coworking space Bar (Hua Hin)
6049,Chakrabongse Villas
6096,Chanderkhlong Restaurant ​​& Cafe
1639,Chao Leh Kitchen @ Four Points by Sheraton Phuket Patong Beach Resort (Phuket)
4633,Chao Nua Thong
4691,Chao Phraya Pearl
6437,Chao Xiang Restaurant
3914,Chaophraya Cruise
3202,Chaosua's Restaurant
6094,Charcoal Tandoor Grill & Mixology
4838,Charlie's by Tongpeng
3528,Charm Cuisine at Oakwood Suites Tiwanon
4996,Charoen Ros Buffet (Chiang Mai)
4801,Charoen Rung Rueang International Buffet Rama 2 
5295,Charoen Rung Rueang International Buffet True Digital 101
5086,Charoenkrung Bar & Bistro 
1961,Chatrium Hotel Riverside Bangkok Staycation
1937,Chatrium Residence Sathon Bangkok Staycation
3649,Chatuchak Cafe Centara Grand at Central Plaza Ladprao
2593,Chay Had Restaurant at Hilton Resort & Spa (Hua Hin)
6124,Che'rie Cafe
3313,Cheat Day by Modish The PARQ Rama 4
5946,Cheeky Signature’s (Bee Hoon) 
3883,Chef Station Omakase
3993,Chef Thanom Att U Park Bangna
3991,Chef Thanom Central Westgate
3201,Chef Thanom Seacon Square Srinagarindra
3994,Chef Thanom The Nine Center Tiwanon
3990,Chef Thanom The Street Ratchada
5984,Chef Yis
5818,Chef's Tavern
3631,Chez Papa Bangkok
5316,Chiang Nua E-Saan And Grill
6594,Chiangkham Restaurant (Chiang Mai)
4277,Chibing Chicken and Bingsu Onnut 7
4278,Chibing Chicken and Bingsu Pattaya Beach (Pattaya)
4281,Chibing Chicken and Bingsu Ratchada 
4647,Chim By Siam Wisdom 
6205,Chim Cafe & Restaurant
6332,Chim Chim
5408,Chim-Yum Bangna
4981,Chimu sushi 
4915,Chin Chin
6695,China Palace Restaurant (Chong Nonsi)
984,China Palace at Prince Palace Hotel Bangkok
3886,China Rose at Maruay Garden Hotel
3569,China Table Radisson Blu Plaza Bangkok
5846,Chinda Hotpot Lad Phrao 122
5847,Chinda Hotpot Ngamwongwan
5843,Chinda Hotpot Nuanchan
5848,Chinda Hotpot Porto Chino
6923,Chinda Hotpot Rajamangala Khlong 6
6922,Chinda Hotpot Rangsit Khlong 3
5849,Chinda Hotpot Saphan Mai
5844,Chinda Hotpot The Walk Ratchaphruek
6561,Chinda Hotpot Udomsuk 58
4659,Chisana Nami at Erawan Bangkok
4035,Chokchai SteakHouse (Rangsit)
4486,ChomSindh at Amari Bangkok
4763,Chon Som at Courtyard by Marriott Suvarnabhumi Airport 
3283,Chopkeeper Butcher & Tap Bangna
3282,Chopkeeper Butcher & Tap Pattanakarn
3200,Chow Barn Restaurant The Peri Hotel (Khao Yai)
